serialNumber,packetType,deviceTime,time,xAxisAcc,yAxisAcc,zAxisAcc,xAxisAngVal,yAxisAngVal,zAxisAngVal,xAxisMagF,yAxisMagF,zAxisMagF,gpsTimeValidity,gpsAltitude,gpsLatitude,gpsLongitude,pressure,temperature
21845,1,130,197908,0.666852236,0.058839902,-9.816456795,-0.115000002,0.137999997,-0.115000002,3.13499999,5.090000153,37.64500046,2437,7318,372463360,1266667520,102289.6563,21.92263794
21845,1,141,198018,0.745305359,0.019613301,-9.728197098,0.702000022,-0.538999975,0.451000005,4.157000065,5.250999928,38.01900101,2437,7301,372463360,1266667520,102288.2656,21.92407227
21845,1,150,198108,0.676658869,0,-9.796843529,-0.138999999,0.030999999,-0.145999998,2.309999943,5.883999825,38.18299866,2437,7289,372463360,1266667520,102288.4844,21.92782593
21845,1,161,198218,0.657045603,0.029419951,-9.787036896,0.033,0.344000012,0.158000007,2.802999973,6.045000076,37.61500168,2437,7277,372463360,1266667520,102289.5781,21.93070984
21845,1,171,198318,0.608012319,-0.039226603,-9.630130768,-0.103,-0.085000001,0.512000024,3.13499999,5.40899992,37.77899933,2437,7259,372463360,1266667520,102289.0313,21.93263245
21845,1,181,198418,0.686465502,0.039226603,-9.777230263,0.358999997,0.703000009,0.340000004,3.632999897,6.044000149,37.26399994,2437,7241,372463360,1266667520,102289.0938,21.9344635
21845,1,191,198518,0.686465502,-0.019613301,-9.777230263,-0.173999995,0.308999985,0.067000002,4.119999886,7.156000137,36.20199966,2437,7228,372463360,1266667520,102289.1563,21.93955994
21845,1,202,198628,0.696272194,0.009806651,-9.728197098,0.105999999,0.209000006,-0.111000001,1.292999983,5.250999928,36.95000076,2437,7210,372463360,1266667520,102289.8281,21.93937683
21845,1,212,198728,0.676658869,0,-9.806650162,0.270999998,-0.048,-0.386999995,2.278000116,4.618000031,36.29899979,2438,7197,372463360,1266667520,102289.0313,21.93099976
21845,1,222,198828,0.666852236,0,-9.796843529,-0.093999997,0.046,0.035999998,2.812999964,5.252999783,36.50899887,2438,7182,372463360,1266667520,102289.5156,21.94572449
21845,1,232,198928,0.657045603,0.039226603,-9.845876694,0.575999975,-0.013,0.419999987,3.155999899,5.093999863,36.67300034,2438,7163,372463360,1266667520,102289.7188,21.93417358
21845,1,243,199038,0.745305359,0.107873149,-9.826263428,0.039999999,0.418000013,0.011,2.647000074,6.681000233,36.62799835,2438,7143,372463360,1266667520,102288.4531,21.94004822
21845,1,253,199138,0.774725378,-0.06864655,-9.787036896,-0.197999999,0.344999999,-0.381999999,4.136000156,6.837999821,36.41899872,2438,7132,372463360,1266667520,102289.5,21.9256134
21845,1,263,199238,0.539365768,0.039226603,-9.708583832,-0.458000004,-0.167999998,0.486000001,2.753999949,4.774000168,36.11299896,2438,7122,372463360,1266667520,102289.4688,21.94206238
21845,1,273,199338,0.558979034,0.117679805,-9.983169556,0.163000003,0.085000001,-0.374000013,4.113999844,5.250999928,37.19599915,2438,7109,372463360,1266667520,102289.4844,21.93330383
21845,1,284,199448,0.402072668,-0.058839902,-9.76742363,-0.456,-0.635999978,-0.432999998,2.470999956,4.775000095,37.56999969,2438,7087,372463360,1266667520,102289.6094,21.94898987
21845,1,294,199548,0.95124507,-0.362846047,-9.590903282,-0.333999991,-0.499000013,2.183000088,4.140999794,4.772999763,36.41899872,2438,7070,372463360,1266667520,102289.1406,21.94197083
21845,1,304,199648,0.431492597,-0.215746298,-11.38552094,-0.462000012,-0.277999997,0.646000028,4.113999844,4.774000168,36.50899887,2438,7056,372463360,1266667520,102290.1875,21.94927979
21845,1,314,199748,1.382737756,0.519752443,-9.992977142,-0.098999999,-0.231999993,-2.938999891,4.28000021,6.203000069,37.12200165,2439,7043,372463360,1266667520,102289.4688,21.95245361
21845,1,325,199858,0.912018478,1.068924785,-7.69822073,1.213999987,0.735000014,0.964999974,4.30700016,6.203000069,37.12200165,2439,7036,372463360,1266667520,102289.625,21.95254517
21845,1,335,199958,1.470997572,-1.049311519,-7.080401421,0.532999992,0.455000013,-0.648000002,2.29399991,5.885000229,37.45000076,2439,7027,372463360,1266667520,102290.0313,21.94706726
21845,1,345,200058,0.774725378,-0.176519692,-8.139519691,0.66900003,2.266000032,0.629999995,2.29399991,5.888000011,37.49499893,2439,7020,372463360,1266667520,102288.4375,21.94436646
21845,1,355,200158,0.254972905,-1.176797986,-6.001669884,0.400999993,3.704999924,6.96600008,4.638999939,6.204999924,37.51800156,2439,7016,372463360,1266667520,102288.4688,21.96226501
21845,1,366,200268,-0.843371928,-1.000278354,-8.453331947,-1.154999971,-0.625,8.197999954,4.65500021,6.203000069,37.51800156,2439,7012,372463360,1266667520,102289.375,21.94715881
21845,1,376,200368,3.765753746,2.088816404,-18.89741516,-0.722000003,-2.328000069,1.79400003,3.809000015,8.425999641,38.97499847,2439,7008,372463360,1266667520,102287.8125,21.9629364
21845,1,386,200468,-1.15718472,-1.372931004,-25.06579781,1.644999981,-0.068000004,4.617000103,3.83100009,8.42800045,38.93000031,2439,7009,372463392,1266667520,102288.25,21.95448303
21845,1,396,200568,-2.45166254,-1.441577554,-33.27396393,0.606999993,-1.113000035,5.984000206,3.638000011,7.153999805,37.61500168,2439,6992,372463392,1266667520,102281.7031,21.9584198
21845,1,407,200678,-0.107873149,0.156906411,-37.33391571,-1.953999996,2.219000101,-18.58699989,3.638000011,7.152999878,37.59199905,2440,6984,372463392,1266667520,102272.4844,21.95716858
21845,1,417,200778,1.80442369,-1.451384187,-43.7180481,1.646999955,1.949000001,2.313999891,1.154000044,6.678999901,34.06399918,2440,6975,372463392,1266667520,102261.5938,21.94572449
21845,1,427,200878,0.313812822,0.81395191,-40.48184967,2.26699996,5.744999886,16.78100014,2.786999941,5.250999928,36.7480011,2440,6964,372463392,1266667520,102240.4375,21.93177795
21845,1,437,200978,-3.893240213,0.529559135,-44.8654213,-5.051000118,3.266000032,17.09799957,3.285000086,6.837999821,36.65800095,2440,6963,372463392,1266667520,102218,21.9069519
21845,1,448,201088,3.775560141,1.255251288,-45.75782776,-10.18299961,4.53000021,12.02400017,3.450999975,8.112000465,36.69499969,2440,6953,372463392,1266667520,102204.7188,21.89953613
21845,1,458,201188,1.745583773,-1.902490139,-47.89567947,-11.44200039,3.713000059,5.831999779,2.454999924,7.951000214,36.20199966,2440,6948,372463392,1266667520,102174.2344,21.87973022
21845,1,469,201298,-0.539365768,0.392266005,-48.3958168,-11.93000031,5.147999763,-4.958000183,2.444000006,6.047999859,36.41899872,2440,6939,372463392,1266667520,102160.25,21.87779236
21845,1,479,201398,-2.530115604,-1.784810305,-47.93490601,-7.90500021,5.455999851,-10.40999985,0.479000002,4.776000023,33.94499969,2440,6930,372463392,1266667520,102115.5781,21.86471558
21845,1,489,201498,-3.63826704,-1.039504886,-45.52247238,-1.50999999,13.43999958,-14.99499989,0.483999997,3.980000019,34.22900009,2440,6928,372463392,1266667520,102092.8281,21.85720825
21845,1,500,201608,2.186882973,3.344067574,-46.83656311,1.86500001,7.026000023,-21.55999947,0.629000008,2.234999895,34.28099823,2441,6911,372463392,1266667520,102037.6875,21.86250305
21845,1,510,201708,-1.255251288,-0.313812822,-48.59194946,3.854000092,6.019999981,-28.97100067,-0.505999982,1.123000026,33.57099915,2441,6909,372463392,1266667520,102011.625,21.86576843
21845,1,521,201818,-1.470997572,1.618097305,-44.62025833,-4.298999786,1.222000003,-33.27399826,-1.501999974,-1.098999977,32.14400101,2441,6897,372463392,1266667520,101945.6563,21.86808777
21845,1,531,201918,1.853456855,-1.706357121,-43.97302246,-6.311999798,0.363999993,-41.56000137,-1.154000044,-2.687999964,32.68199921,2441,6879,372463392,1266667520,101910.0625,21.87385559
21845,1,542,202028,-1.578870654,-0.902211845,-39.84442139,-9.387999535,0.282999992,-47.1969986,-0.351000011,-6.97300005,33.29499817,2441,6874,372463392,1266667520,101830.875,21.85874939
21845,1,552,202128,0.990471721,-1.529837489,-39.58944702,-7.164999962,0.963999987,-46.00600052,0.130999997,-10.14799976,33.20500183,2441,6854,372463392,1266667520,101746.25,21.860672
21845,1,562,202228,4.756225586,-0.343232751,-36.5297699,-6.146999836,6.635000229,-49.68999863,2.278000116,-13.47900009,32.0019989,2441,6851,372463392,1266667520,101702.5313,21.85412598
21845,1,572,202328,-1.706357121,-3.196968079,-34.07810974,0.658999979,6.441999912,-53.41500092,3.13499999,-18.23900032,32.39799881,2441,6839,372463392,1266667520,101617.2344,21.84634399
21845,1,583,202438,0.323619455,-2.579149008,-32.64633942,-2.779000044,4.184999943,-62.83599854,5.265999794,-20.78199959,32.63700104,2441,6801,372463392,1266667520,101573.7656,21.84288025
21845,1,593,202538,-2.088816404,-1.667130589,-24.98734474,-0.282000005,2.823999882,-65.98100281,6.769999981,-24.27400017,31.10499954,2442,6645,372463360,1266667520,101475.4375,21.84634399
21845,1,604,202648,-0.294199497,-1.676937222,-20.53512573,-2.132999897,5.535999775,-72.2539978,9.597000122,-27.13299942,31.81500053,2442,6559,372463360,1266667520,101423.5469,21.83854675
21845,1,614,202748,-4.275699139,0.50994581,-6.874461651,-4.065000057,2.915999889,-75.67099762,13.90699959,-32.68899918,31.86000061,2442,6501,372463328,1266667520,101317.0625,21.83528137
